event_date,custom_session_id,revenue
2020-11-02,7186879.8446139395_9534034009,10.0
2020-11-02,7186879.8446139395_9534034009,38.0
2020-11-02,7186879.8446139395_9534034009,4.0
2020-11-02,7186879.8446139395_9534034009,12.0
2020-11-02,7186879.8446139395_9534034009,2.0
2020-11-02,8620049.6567104406_2424279717,2.0
2020-11-02,8620049.6567104406_2424279717,19.0
2020-11-02,8620049.6567104406_2424279717,14.0
2020-11-02,8620049.6567104406_2424279717,2.0
2020-11-02,8620049.6567104406_2424279717,14.0
2020-11-02,10295267.8818269139_3505934777,92.0
2020-11-02,10295267.8818269139_3505934777,14.0
2020-11-02,10295267.8818269139_3505934777,12.0
2020-11-02,10295267.8818269139_3505934777,13.0
2020-11-02,10295267.8818269139_3505934777,10.0
2020-11-02,10295267.8818269139_5843703569,13.0
2020-11-02,10295267.8818269139_5843703569,16.0
2020-11-02,21503964.5896255118_9113246221,2.0
2020-11-02,5649103.1235825158_2042885105,44.0
2020-11-02,5649103.1235825158_2042885105,48.0
2020-11-02,5649103.1235825158_2042885105,1.0
2020-11-02,5299488.0522490006_6114829063,44.0
2020-11-02,5299488.0522490006_6114829063,92.0
2020-11-02,5299488.0522490006_6114829063,55.0
2020-11-02,1534773.3101496826_8122702140,71.0
2020-11-02,1534773.3101496826_8122702140,14.0
2020-11-02,1534773.3101496826_8122702140,48.0
2020-11-02,1525779.2780994637_3706427679,96.0
2020-11-02,1525779.2780994637_3706427679,19.0
2020-11-02,1525779.2780994637_3706427679,60.0
2020-11-02,7644155580.3915602822_7511817968,71.0
2020-11-02,7644155580.3915602822_7511817968,12.0
2020-11-02,77977792.0191527366_4354010850,48.0
2020-11-02,77977792.0191527366_4354010850,16.0
2020-11-02,77977792.0191527366_4354010850,48.0
2020-11-02,77977792.0191527366_4354010850,16.0
2020-11-02,76792644.6351730563_6495759526,2.0
2020-11-02,76792644.6351730563_6495759526,48.0
2020-11-02,39443462.9852246899_4299531234,48.0
2020-11-02,39443462.9852246899_4299531234,9.0
2020-11-02,31613618.4993209758_8378798509,30.0
2020-11-02,31613618.4993209758_8378798509,30.0
2020-11-02,14297513.2705476236_1165453731,6.0
2020-11-02,14297513.2705476236_1165453731,4.0
2020-11-02,6959133.0796529462_8726317662,14.0
2020-11-02,6959133.0796529462_8726317662,14.0
